Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
183;25.02.2024 18:22:38 442;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
184;25.02.2024 18:22:38 456;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
185;25.02.2024 18:22:38 470;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
186;25.02.2024 18:22:38 484;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
187;25.02.2024 18:22:38 500;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
188;25.02.2024 18:22:38 514;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
189;25.02.2024 18:22:38 527;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
190;25.02.2024 18:22:38 541;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
191;25.02.2024 18:22:38 555;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
192;25.02.2024 18:22:38 571;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
193;25.02.2024 18:22:38 582;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
194;25.02.2024 18:22:38 597;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
195;25.02.2024 18:22:38 610;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
196;25.02.2024 18:22:38 624;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
197;25.02.2024 18:22:38 637;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
198;25.02.2024 18:22:38 651;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
199;25.02.2024 18:22:38 664;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
200;25.02.2024 18:22:38 679;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
201;25.02.2024 18:22:38 693;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
202;25.02.2024 18:22:38 706;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
203;25.02.2024 18:22:38 721;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
204;25.02.2024 18:22:38 735;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
205;25.02.2024 18:22:38 749;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
206;25.02.2024 18:22:38 762;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
207;25.02.2024 18:22:38 776;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
208;25.02.2024 18:22:38 790;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
209;25.02.2024 18:22:38 806;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
210;25.02.2024 18:22:38 818;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
211;25.02.2024 18:22:38 832;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
212;25.02.2024 18:22:38 846;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
213;25.02.2024 18:22:38 860;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
214;25.02.2024 18:22:38 873;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
215;25.02.2024 18:22:38 887;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
216;25.02.2024 18:22:38 902;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
217;25.02.2024 18:22:38 915;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
218;25.02.2024 18:22:38 931;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
219;25.02.2024 18:22:38 944;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
220;25.02.2024 18:22:38 957;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
221;25.02.2024 18:22:38 971;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
222;25.02.2024 18:22:38 985;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
223;25.02.2024 18:22:38 999;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
224;25.02.2024 18:22:39 14;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
225;25.02.2024 18:22:39 27;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
226;25.02.2024 18:22:39 41;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
227;25.02.2024 18:22:39 55;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
228;25.02.2024 18:22:39 70;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
229;25.02.2024 18:22:39 84;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
230;25.02.2024 18:22:39 97;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
231;25.02.2024 18:22:39 110;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
232;25.02.2024 18:22:39 125;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
233;25.02.2024 18:22:39 137;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
234;25.02.2024 18:22:39 151;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
235;25.02.2024 18:22:39 165;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
236;25.02.2024 18:22:39 178;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
237;25.02.2024 18:22:39 192;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
238;25.02.2024 18:22:39 206;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
239;25.02.2024 18:22:39 220;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
240;25.02.2024 18:22:39 234;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
241;25.02.2024 18:22:39 248;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
242;25.02.2024 18:22:39 262;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
243;25.02.2024 18:22:39 276;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
244;25.02.2024 18:22:39 291;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
245;25.02.2024 18:22:39 304;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
246;25.02.2024 18:22:39 318;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
247;25.02.2024 18:22:39 331;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
248;25.02.2024 18:22:39 345;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
249;25.02.2024 18:22:39 359;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
250;25.02.2024 18:22:39 373;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
251;25.02.2024 18:22:39 387;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
252;25.02.2024 18:22:39 401;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
253;25.02.2024 18:22:39 415;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
254;25.02.2024 18:22:39 429;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
255;25.02.2024 18:22:39 443;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
256;25.02.2024 18:22:39 457;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
257;25.02.2024 18:22:39 471;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
258;25.02.2024 18:22:39 484;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
259;25.02.2024 18:22:39 498;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
260;25.02.2024 18:22:39 512;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
261;25.02.2024 18:22:39 526;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
262;25.02.2024 18:22:39 539;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
263;25.02.2024 18:22:39 554;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
264;25.02.2024 18:22:39 567;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
265;25.02.2024 18:22:39 581;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
266;25.02.2024 18:22:39 595;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
267;25.02.2024 18:22:39 609;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
268;25.02.2024 18:22:39 623;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
269;25.02.2024 18:22:39 637;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
270;25.02.2024 18:22:39 651;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
271;25.02.2024 18:22:39 665;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
272;25.02.2024 18:22:39 678;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
273;25.02.2024 18:22:39 692;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
274;25.02.2024 18:22:39 706;(0.12, 0.80, 0.35);(-0.51098, -0.10899, 0.52891, 0.66879);(0.10, 0.80, 0.33);(-0.45950, 0.12237, 0.44539, 0.75863);---;---;---;---;---;---;(-0.07, 0.91, -0.07);(0.00000, 0.00000, 0.00000, 1.00000);
